PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;INSTELLINGSCODE ACTUEEL;INSTELLINGSNAAM ACTUEEL;ONDERDEEL;SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2020;2021;2022;2023;2024
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;vrouw;104;123;143;153;147
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;man;351;379;408;396;415
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;onbekend;<5;0;0;<5;<5
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;vrouw;1198;1385;1475;1581;1577
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;man;251;267;241;233;241
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;vrouw;165;189;151;144;139
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;man;85;84;93;103;94
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;vrouw;993;994;1019;1075;1085
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;man;90;72;79;86;80
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;vrouw;265;246;233;250;247
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;man;179;175;148;153;153
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;vrouw;150;144;138;134;120
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;man;266;269;284;332;348
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;vrouw;194;194;180;175;161
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;man;416;423;416;427;428
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;vrouw;691;736;739;750;766
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;man;73;80;95;84;77
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;vrouw;144;136;117;128;131
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;man;95;78;88;97;115
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;vrouw;211;229;214;209;207
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56943;B Chemistry;voltijd onderwijs;man;120;90;90;86;91
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56943;B Chemistry;voltijd onderwijs;vrouw;74;58;64;62;56
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56944;B Molecular Life Sciences;voltijd onderwijs;man;111;122;119;118;115
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56944;B Molecular Life Sciences;voltijd onderwijs;vrouw;184;197;203;190;170
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56945;B Artificial Intelligence;voltijd onderwijs;man;362;347;356;378;361
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56945;B Artificial Intelligence;voltijd onderwijs;vrouw;199;197;189;214;202
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56948;B Science;voltijd onderwijs;man;60;57;53;52;60
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56948;B Science;voltijd onderwijs;vrouw;52;47;39;29;34
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56980;B Wiskunde;voltijd onderwijs;man;195;191;181;175;192
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56980;B Wiskunde;voltijd onderwijs;vrouw;81;77;76;66;77
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;man;308;290;286;283;305
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;vrouw;83;80;78;90;100
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59325;B Biology;voltijd onderwijs;man;206;200;206;194;213
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59325;B Biology;voltijd onderwijs;vrouw;341;316;328;334;351
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59326;B Computing Science;voltijd onderwijs;man;463;476;536;539;551
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59326;B Computing Science;voltijd onderwijs;vrouw;67;70;88;104;110
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;onderwijs;leraar basisonderwijs;59329;B Pedagogische Wetenschappen van Primair Onderwijs;voltijd onderwijs;man;14;19;24;30;31
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;onderwijs;leraar basisonderwijs;59329;B Pedagogische Wetenschappen van Primair Onderwijs;voltijd onderwijs;vrouw;66;86;120;112;127
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50017;B European Law School;voltijd onderwijs;man;61;65;66;73;71
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50017;B European Law School;voltijd onderwijs;vrouw;141;128;152;149;134
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;man;39;36;38;31;18
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;vrouw;44;44;50;61;58
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;man;632;593;543;485;459
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;vrouw;976;952;916;836;777
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;deeltijd onderwijs;man;<5;<5;9;7;7
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;deeltijd onderwijs;vrouw;19;24;27;24;26
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;voltijd onderwijs;man;117;109;97;114;121
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;voltijd onderwijs;vrouw;206;206;212;211;200
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;deeltijd onderwijs;man;15;19;15;7;9
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;deeltijd onderwijs;vrouw;38;38;18;8;10
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;voltijd onderwijs;man;27;28;25;24;33
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;voltijd onderwijs;vrouw;79;62;73;62;66
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56003;B Griekse en Latijnse Taal en Cultuur;voltijd onderwijs;man;28;29;27;24;27
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56003;B Griekse en Latijnse Taal en Cultuur;voltijd onderwijs;vrouw;36;37;44;43;47
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56034;B Geschiedenis;voltijd onderwijs;man;292;298;313;300;330
