,vestigingscode,instellingscode,instellingsnaam,vestigingsgemeente,jaar,opleidingsvorm,soort_ho,type_ho,herkomst,status,ingeschrevenen_HO,instroom_RR,instroom_HO,tweedejaars_HO,hogerejaars_HO,instroom_THO_NW,tweedejaars_THO_NW,hogerejaars_THO_NW,provincie
7051,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2035,voltijd,wo,ma,NL,prognose,2.673,1.014,0.013,0.026,2.634,0.676,0.102683098591549,1.89431690140845,Utrecht
7052,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2036,voltijd,wo,ma,NL,prognose,2.669,1.014,0.013,0.026,2.63,0.676,0.102654929577465,1.89034507042254,Utrecht
7053,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2037,voltijd,wo,ma,NL,prognose,2.67,1.017,0.0130384615384615,0.0260769230769231,2.63088461538462,0.678,0.102910075839653,1.88908992416035,Utrecht
7054,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2038,voltijd,wo,ma,NL,prognose,2.669,1.019,0.0130641025641026,0.0261282051282051,2.62980769230769,0.679333333333333,0.103068436258577,1.88659823040809,Utrecht
7055,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2025,voltijd,wo,ma,niet-EER,prognose,3.162,2.606,2.23371428571429,0.928285714285714,0.0,2.23371428571429,0.928285714285714,0.0,Utrecht
7056,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2026,voltijd,wo,ma,niet-EER,prognose,3.221,2.649,2.27057142857143,0.950428571428571,0.0,2.27057142857143,0.950428571428571,0.0,Utrecht
7057,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2027,voltijd,wo,ma,niet-EER,prognose,3.273,2.691,2.30657142857143,0.966428571428571,0.0,2.30657142857143,0.966428571428571,0.0,Utrecht
7058,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2028,voltijd,wo,ma,niet-EER,prognose,3.282,2.687,2.30314285714286,0.978857142857143,0.0,2.30314285714286,0.978857142857143,0.0,Utrecht
7059,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2029,voltijd,wo,ma,niet-EER,prognose,3.269,2.674,2.292,0.977,0.0,2.292,0.977,0.0,Utrecht
7060,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2030,voltijd,wo,ma,niet-EER,prognose,3.259,2.666,2.28514285714286,0.973857142857143,0.0,2.28514285714286,0.973857142857143,0.0,Utrecht
7061,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2031,voltijd,wo,ma,niet-EER,prognose,3.246,2.654,2.27485714285714,0.971142857142857,0.0,2.27485714285714,0.971142857142857,0.0,Utrecht
7062,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2032,voltijd,wo,ma,niet-EER,prognose,3.231,2.642,2.26457142857143,0.966428571428571,0.0,2.26457142857143,0.966428571428571,0.0,Utrecht
7063,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2033,voltijd,wo,ma,niet-EER,prognose,3.214,2.627,2.25171428571429,0.962285714285714,0.0,2.25171428571429,0.962285714285714,0.0,Utrecht
7064,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2034,voltijd,wo,ma,niet-EER,prognose,3.189,2.606,2.23371428571429,0.955285714285714,0.0,2.23371428571429,0.955285714285714,0.0,Utrecht
7065,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2035,voltijd,wo,ma,niet-EER,prognose,3.162,2.584,2.21485714285714,0.947142857142857,0.0,2.21485714285714,0.947142857142857,0.0,Utrecht
7066,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2036,voltijd,wo,ma,niet-EER,prognose,3.142,2.569,2.202,0.94,0.0,2.202,0.94,0.0,Utrecht
7067,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2037,voltijd,wo,ma,niet-EER,prognose,3.124,2.555,2.19,0.934,0.0,2.19,0.934,0.0,Utrecht
7068,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2038,voltijd,wo,ma,niet-EER,prognose,3.111,2.545,2.18142857142857,0.929571428571428,0.0,2.18142857142857,0.929571428571428,0.0,Utrecht
7069,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2025,deeltijd,wo,ba,NL,prognose,0.438,0.0,0.0,0.0,0.438,0.0,0.1095,0.3285,Noord-Holland
7070,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2026,deeltijd,wo,ba,NL,prognose,0.415,0.0,0.0,0.0,0.415,0.0,0.10375,0.31125,Noord-Holland
7071,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2027,deeltijd,wo,ba,NL,prognose,0.396,0.0,0.0,0.0,0.396,0.0,0.099,0.297,Noord-Holland
7072,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2028,deeltijd,wo,ba,NL,prognose,0.387,0.0,0.0,0.0,0.387,0.0,0.09675,0.29025,Noord-Holland
7073,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2029,deeltijd,wo,ba,NL,prognose,0.385,0.0,0.0,0.0,0.385,0.0,0.09625,0.28875,Noord-Holland
7074,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2030,deeltijd,wo,ba,NL,prognose,0.384,0.0,0.0,0.0,0.384,0.0,0.096,0.288,Noord-Holland
7075,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2031,deeltijd,wo,ba,NL,prognose,0.383,0.0,0.0,0.0,0.383,0.0,0.09575,0.28725,Noord-Holland
7076,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2032,deeltijd,wo,ba,NL,prognose,0.385,0.0,0.0,0.0,0.385,0.0,0.09625,0.28875,Noord-Holland
7077,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2033,deeltijd,wo,ba,NL,prognose,0.387,0.0,0.0,0.0,0.387,0.0,0.09675,0.29025,Noord-Holland
7078,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2034,deeltijd,wo,ba,NL,prognose,0.387,0.0,0.0,0.0,0.387,0.0,0.09675,0.29025,Noord-Holland
7079,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2035,deeltijd,wo,ba,NL,prognose,0.39,0.0,0.0,0.0,0.39,0.0,0.0975,0.2925,Noord-Holland
7080,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2036,deeltijd,wo,ba,NL,prognose,0.392,0.0,0.0,0.0,0.392,0.0,0.098,0.294,Noord-Holland
7081,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2037,deeltijd,wo,ba,NL,prognose,0.394,0.0,0.0,0.0,0.394,0.0,0.0985,0.2955,Noord-Holland
7082,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2038,deeltijd,wo,ba,NL,prognose,0.396,0.0,0.0,0.0,0.396,0.0,0.099,0.297,Noord-Holland
7083,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2025,deeltijd,wo,ma,EER,prognose,0.917,0.0,0.0,0.0,0.917,0.0,0.0,0.917,Noord-Holland
7084,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2026,deeltijd,wo,ma,EER,prognose,1.002,0.0,0.0,0.0,1.002,0.0,0.0,1.002,Noord-Holland
7085,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2027,deeltijd,wo,ma,EER,prognose,1.06,0.0,0.0,0.0,1.06,0.0,0.0,1.06,Noord-Holland
7086,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2028,deeltijd,wo,ma,EER,prognose,1.084,0.0,0.0,0.0,1.084,0.0,0.0,1.084,Noord-Holland
7087,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2029,deeltijd,wo,ma,EER,prognose,1.127,0.0,0.0,0.0,1.127,0.0,0.0,1.127,Noord-Holland
7088,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2030,deeltijd,wo,ma,EER,prognose,1.11,0.0,0.0,0.0,1.11,0.0,0.0,1.11,Noord-Holland
7089,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2031,deeltijd,wo,ma,EER,prognose,1.107,0.0,0.0,0.0,1.107,0.0,0.0,1.107,Noord-Holland
7090,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2032,deeltijd,wo,ma,EER,prognose,1.105,0.0,0.0,0.0,1.105,0.0,0.0,1.105,Noord-Holland
7091,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2033,deeltijd,wo,ma,EER,prognose,1.102,0.0,0.0,0.0,1.102,0.0,0.0,1.102,Noord-Holland
7092,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2034,deeltijd,wo,ma,EER,prognose,1.1,0.0,0.0,0.0,1.1,0.0,0.0,1.1,Noord-Holland
7093,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2035,deeltijd,wo,ma,EER,prognose,1.101,0.0,0.0,0.0,1.101,0.0,0.0,1.101,Noord-Holland
7094,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2036,deeltijd,wo,ma,EER,prognose,1.104,0.0,0.0,0.0,1.104,0.0,0.0,1.104,Noord-Holland
7095,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2037,deeltijd,wo,ma,EER,prognose,1.104,0.0,0.0,0.0,1.104,0.0,0.0,1.104,Noord-Holland
7096,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2038,deeltijd,wo,ma,EER,prognose,1.102,0.0,0.0,0.0,1.102,0.0,0.0,1.102,Noord-Holland
7097,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2025,deeltijd,wo,ma,NL,prognose,41.27,13.239,0.348394736842105,0.162272727272727,40.7593325358852,3.13555263157895,3.52697368421053,34.6074736842105,Noord-Holland
7098,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2026,deeltijd,wo,ma,NL,prognose,40.473,13.35,0.351315789473684,0.164454545454545,39.9572296650718,3.16184210526316,3.56557894736842,33.7455789473684,Noord-Holland
7099,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2027,deeltijd,wo,ma,NL,prognose,39.957,13.252,0.348736842105263,0.164909090909091,39.4433540669856,3.13863157894737,3.55768421052632,33.2606842105263,Noord-Holland
7100,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2028,deeltijd,wo,ma,NL,prognose,39.608,13.29,0.349736842105263,0.164636363636364,39.0936267942584,3.14763157894737,3.55968421052632,32.9006842105263,Noord-Holland
7101,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2029,deeltijd,wo,ma,NL,prognose,39.109,13.257,0.348868421052632,0.164636363636364,38.595495215311,3.13981578947368,3.55534210526316,32.4138421052632,Noord-Holland
7102,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2030,deeltijd,wo,ma,NL,prognose,38.918,13.289,0.349710526315789,0.164909090909091,38.4033803827751,3.1473947368421,3.56255263157895,32.208052631579,Noord-Holland
7103,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2031,deeltijd,wo,ma,NL,prognose,38.729,13.291,0.349763157894737,0.165272727272727,38.2139641148325,3.14786842105263,3.56681578947368,32.0143157894737,Noord-Holland
7104,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2032,deeltijd,wo,ma,NL,prognose,38.674,13.31,0.350263157894737,0.165272727272727,38.1584641148325,3.15236842105263,3.56931578947368,31.9523157894737,Noord-Holland
7105,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2033,deeltijd,wo,ma,NL,prognose,38.545,13.325,0.350657894736842,0.165363636363636,38.0289784688995,3.15592105263158,3.57228947368421,31.8167894736842,Noord-Holland
7106,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2034,deeltijd,wo,ma,NL,prognose,38.53,13.33,0.35078947368421,0.165636363636364,38.0135741626794,3.15710526315789,3.57594736842105,31.7969473684211,Noord-Holland
7107,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2035,deeltijd,wo,ma,NL,prognose,38.536,13.334,0.350894736842105,0.165909090909091,38.0191961722488,3.15805263157895,3.57947368421053,31.7984736842105,Noord-Holland
7108,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2036,deeltijd,wo,ma,NL,prognose,38.529,13.349,0.35128947368421,0.166,38.0117105263158,3.16160526315789,3.58244736842105,31.7849473684211,Noord-Holland
7109,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2037,deeltijd,wo,ma,NL,prognose,38.5,13.35,0.351315789473684,0.166363636363636,37.9823205741627,3.16184210526316,3.58657894736842,31.7515789473684,Noord-Holland
7110,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2038,deeltijd,wo,ma,NL,prognose,38.473,13.35,0.351315789473684,0.166363636363636,37.9553205741627,3.16184210526316,3.58657894736842,31.7245789473684,Noord-Holland
7111,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2025,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7112,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2026,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7113,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2027,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7114,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2028,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
