,vestigingscode,instellingscode,instellingsnaam,vestigingsgemeente,jaar,opleidingsvorm,soort_ho,type_ho,herkomst,status,ingeschrevenen_HO,instroom_RR,instroom_HO,tweedejaars_HO,hogerejaars_HO,instroom_THO_NW,tweedejaars_THO_NW,hogerejaars_THO_NW,provincie
27,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2022,voltijd,wo,ba,NL,realisatie,30.0,6.0,0.0,0.0,27.0,0.0,0.0,22.0,Noord-Holland
28,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2017,voltijd,wo,ma,NL,realisatie,52.0,14.0,0.0,0.0,50.0,12.0,7.0,33.0,Noord-Holland
29,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2018,voltijd,wo,ma,NL,realisatie,48.0,16.0,0.0,0.0,46.0,10.0,12.0,26.0,Noord-Holland
30,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2019,voltijd,wo,ma,NL,realisatie,51.0,13.0,0.0,0.0,49.0,11.0,12.0,28.0,Noord-Holland
31,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2020,voltijd,wo,ma,NL,realisatie,60.0,23.0,0.0,0.0,57.0,16.0,13.0,31.0,Noord-Holland
32,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2021,voltijd,wo,ma,NL,realisatie,60.0,11.0,0.0,0.0,57.0,7.0,16.0,37.0,Noord-Holland
33,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2022,voltijd,wo,ma,NL,realisatie,59.0,21.0,0.0,0.0,56.0,15.0,9.0,35.0,Noord-Holland
34,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2023,voltijd,wo,ma,NL,realisatie,57.0,17.0,0.0,0.0,56.0,10.0,15.0,32.0,Noord-Holland
35,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2024,voltijd,wo,ma,NL,realisatie,66.0,26.0,0.0,0.0,64.0,18.0,11.0,37.0,Noord-Holland
36,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2021,deeltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
37,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2022,deeltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
38,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2017,deeltijd,wo,ma,NL,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
39,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2018,deeltijd,wo,ma,NL,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
40,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2019,deeltijd,wo,ma,NL,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
41,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2020,deeltijd,wo,ma,NL,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
42,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2021,deeltijd,wo,ma,NL,realisatie,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,Groningen
43,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2022,deeltijd,wo,ma,NL,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
44,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2023,deeltijd,wo,ma,NL,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
45,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2017,voltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
46,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2018,voltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
47,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2019,voltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
